p,m,method,err,name,n,a
0,5,PA,0.648093636537975,$A_1$,400,-1000
0,5,RA,0.35767168891612644,$A_1$,400,-1000
0,13,PA,0.17298975956624893,$A_1$,400,-1000
0,13,RA,0.19407799139574478,$A_1$,400,-1000
0,21,PA,0.10351885639295573,$A_1$,400,-1000
0,21,RA,0.11659696547566911,$A_1$,400,-1000
0,30,PA,0.05804466686344316,$A_1$,400,-1000
0,30,RA,0.07447011813011979,$A_1$,400,-1000
0,38,PA,0.026267733701328958,$A_1$,400,-1000
0,38,RA,0.03723143127371544,$A_1$,400,-1000
0,47,PA,0.00954865493988575,$A_1$,400,-1000
0,47,RA,0.017546387459650366,$A_1$,400,-1000
0,55,PA,0.004221792475246682,$A_1$,400,-1000
0,55,RA,0.008227256805155856,$A_1$,400,-1000
0,64,PA,0.0011995981801827815,$A_1$,400,-1000
0,64,RA,0.0030415557338465847,$A_1$,400,-1000
0,72,PA,0.0003535823092891156,$A_1$,400,-1000
0,72,RA,0.0013083664634396355,$A_1$,400,-1000
0,81,PA,7.797289668032924e-05,$A_1$,400,-1000
0,81,RA,0.0002707898820772405,$A_1$,400,-1000
0,89,PA,1.7612582492407346e-05,$A_1$,400,-1000
0,89,RA,0.00012459712229455803,$A_1$,400,-1000
0,97,PA,3.761911589680894e-06,$A_1$,400,-1000
0,97,RA,3.126241269764315e-05,$A_1$,400,-1000
0,106,PA,6.385102069431275e-07,$A_1$,400,-1000
0,106,RA,5.504508397926729e-06,$A_1$,400,-1000
0,114,PA,8.817150704867789e-08,$A_1$,400,-1000
0,114,RA,1.1117429947387273e-06,$A_1$,400,-1000
0,123,PA,9.887296166891199e-09,$A_1$,400,-1000
0,123,RA,1.5904078427721468e-07,$A_1$,400,-1000
0,131,PA,1.2284246929558147e-09,$A_1$,400,-1000
0,131,RA,2.986379569827475e-08,$A_1$,400,-1000
0,140,PA,1.031300568555976e-10,$A_1$,400,-1000
0,140,RA,4.109240173534836e-09,$A_1$,400,-1000
0,148,PA,1.049280489949056e-11,$A_1$,400,-1000
0,148,RA,4.5066092104805524e-10,$A_1$,400,-1000
0,157,PA,6.367910043361815e-13,$A_1$,400,-1000
0,157,RA,6.324464941645628e-11,$A_1$,400,-1000
0,165,PA,4.7116280978955014e-14,$A_1$,400,-1000
0,165,RA,4.504935289249746e-12,$A_1$,400,-1000
0,173,PA,2.995742453954026e-15,$A_1$,400,-1000
0,173,RA,6.450059548488917e-13,$A_1$,400,-1000
0,182,PA,2.9424977558381006e-16,$A_1$,400,-1000
0,182,RA,7.892631816124999e-13,$A_1$,400,-1000
0,190,PA,2.4216775956272553e-16,$A_1$,400,-1000
0,190,RA,7.423309749072173e-13,$A_1$,400,-1000
0,199,PA,1.8750850602426845e-16,$A_1$,400,-1000
0,199,RA,5.900379619604794e-13,$A_1$,400,-1000
0,207,PA,1.8790638243625187e-16,$A_1$,400,-1000
0,207,RA,6.498634206562416e-13,$A_1$,400,-1000
0,216,PA,1.8696970239628115e-16,$A_1$,400,-1000
0,216,RA,4.996081842886567e-13,$A_1$,400,-1000
0,224,PA,1.8342623513182385e-16,$A_1$,400,-1000
0,224,RA,5.84994417866882e-13,$A_1$,400,-1000
0,233,PA,2.2016772130698924e-16,$A_1$,400,-1000
0,233,RA,5.829458598669504e-13,$A_1$,400,-1000
