p,m,method,err,name,n,a
0,5,PA,0.6438972866974075,$A_1$,400,-1000
0,5,RA,0.0022653778409409903,$A_1$,400,-1000
0,13,PA,0.20347253003689575,$A_1$,400,-1000
0,13,RA,8.885972824464113e-06,$A_1$,400,-1000
0,21,PA,0.11529524730776894,$A_1$,400,-1000
0,21,RA,5.733734170424157e-08,$A_1$,400,-1000
0,30,PA,0.056881681408683396,$A_1$,400,-1000
0,30,RA,1.4045551418626345e-10,$A_1$,400,-1000
0,38,PA,0.02955092778659017,$A_1$,400,-1000
0,38,RA,2.9427105674576666e-13,$A_1$,400,-1000
0,47,PA,0.012073400446559602,$A_1$,400,-1000
0,47,RA,2.5210047048878795e-13,$A_1$,400,-1000
0,55,PA,0.004553954657528151,$A_1$,400,-1000
0,55,RA,4.298935730799893e-14,$A_1$,400,-1000
0,64,PA,0.0012957201045879678,$A_1$,400,-1000
0,64,RA,8.744102629086513e-14,$A_1$,400,-1000
0,72,PA,0.00039711634671068044,$A_1$,400,-1000
0,72,RA,6.905061583821889e-14,$A_1$,400,-1000
0,81,PA,9.048203301832902e-05,$A_1$,400,-1000
0,81,RA,1.2122533729426602e-13,$A_1$,400,-1000
0,89,PA,2.1436377182496915e-05,$A_1$,400,-1000
0,89,RA,6.476286669779369e-14,$A_1$,400,-1000
0,97,PA,4.14558118909828e-06,$A_1$,400,-1000
0,97,RA,6.833263603395304e-14,$A_1$,400,-1000
0,106,PA,6.467920407272086e-07,$A_1$,400,-1000
0,106,RA,6.451797857740878e-14,$A_1$,400,-1000
0,114,PA,9.886392528346251e-08,$A_1$,400,-1000
0,114,RA,6.451699338385739e-14,$A_1$,400,-1000
0,123,PA,1.136858953440584e-08,$A_1$,400,-1000
0,123,RA,6.451699338385739e-14,$A_1$,400,-1000
0,131,PA,1.4013451901284134e-09,$A_1$,400,-1000
0,131,RA,7.594917264038511e-14,$A_1$,400,-1000
0,140,PA,1.1042289160233608e-10,$A_1$,400,-1000
0,140,RA,6.15668904681935e-14,$A_1$,400,-1000
0,148,PA,1.1557848882746905e-11,$A_1$,400,-1000
0,148,RA,1.0523466552092361e-13,$A_1$,400,-1000
0,157,PA,6.900945655494394e-13,$A_1$,400,-1000
0,157,RA,9.763525729380848e-14,$A_1$,400,-1000
0,165,PA,7.723872746107951e-14,$A_1$,400,-1000
0,165,RA,8.400507300875616e-14,$A_1$,400,-1000
0,173,PA,6.094912564143037e-14,$A_1$,400,-1000
0,173,RA,6.826447599531214e-14,$A_1$,400,-1000
0,182,PA,6.111019935496555e-14,$A_1$,400,-1000
0,182,RA,6.721628580719513e-14,$A_1$,400,-1000
0,190,PA,6.11110244119289e-14,$A_1$,400,-1000
0,190,RA,6.666351471535475e-14,$A_1$,400,-1000
0,199,PA,6.116523440687379e-14,$A_1$,400,-1000
0,199,RA,6.555788813323826e-14,$A_1$,400,-1000
0,207,PA,6.116733045250539e-14,$A_1$,400,-1000
0,207,RA,6.908325149751952e-14,$A_1$,400,-1000
0,216,PA,6.11613972674276e-14,$A_1$,400,-1000
0,216,RA,6.506690472659095e-14,$A_1$,400,-1000
0,224,PA,6.116547401404e-14,$A_1$,400,-1000
0,224,RA,6.452029872380455e-14,$A_1$,400,-1000
0,233,PA,6.11637896350178e-14,$A_1$,400,-1000
0,233,RA,6.451699338385739e-14,$A_1$,400,-1000
0,241,PA,6.116353738134435e-14,$A_1$,400,-1000
0,241,RA,6.451699338385739e-14,$A_1$,400,-1000
