f,m,method,err,time,name,n,t
$cos(tA)$,,EX,0.0,1.7240420000000007,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,5.0,PA,1.4483039415443963,0.2691480000000013,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,15.0,PA,1.1462291851653486,0.7943819999999988,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,25.0,PA,1.0343069606963744,0.6117999999999988,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,35.0,PA,0.8030930615925559,0.30358900000000233,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,45.0,PA,0.4592543576481303,0.03546100000000152,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,55.0,PA,0.004876362754580323,0.03575500000000176,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,65.0,PA,8.5387391663267e-07,0.05603100000000083,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,75.0,PA,1.8631432511498664e-11,0.05915900000000107,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,85.0,PA,3.250748981864048e-14,0.09571499999999844,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,95.0,PA,3.249386871667565e-14,0.14467699999999795,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,105.0,PA,3.211670737972834e-14,0.10473400000000055,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,115.0,PA,2.896015171446409e-14,0.1275739999999992,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,125.0,PA,3.2004148878170556e-14,0.19419699999999906,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,135.0,PA,3.1933506617470425e-14,0.16483699999999857,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,145.0,PA,3.2079563056394994e-14,0.16012500000000074,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,155.0,PA,3.200821824491481e-14,0.17007500000000064,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,165.0,PA,3.211975042147888e-14,0.26789499999999933,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,175.0,PA,3.2111232519567194e-14,0.22087799999999902,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,185.0,PA,3.211038898365571e-14,0.2939729999999976,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,195.0,PA,3.211670737972834e-14,0.3214049999999986,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,205.0,PA,3.211670737972834e-14,0.29373899999999864,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,215.0,PA,3.211260393779077e-14,0.3285669999999996,$H_{LE}^{h=0.07}$,316,5e-05
$cos(tA)$,225.0,PA,2.895891707858753e-14,0.41613100000000003,$H_{LE}^{h=0.07}$,316,5e-05
