f,m,method,err,time,name,n,t
$\cos(tA)$,0,EX,0.0,6.120885000000001,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,5,PA,0.0020944913282738577,0.0716859999999997,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,6,PA,0.00032074394077707366,0.009484000000000492,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,8,PA,4.589561713381591e-06,0.06599599999999839,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,10,PA,4.16470953899847e-08,0.008769000000000915,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,12,PA,2.27506777383334e-10,0.01678000000001134,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,14,PA,1.1303126160866918e-12,0.0554779999999937,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,16,PA,4.3953586955418346e-15,0.039968999999999255,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,18,PA,2.3450579573096686e-15,0.04447100000000148,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,20,PA,2.3483904166922157e-15,0.07340099999998984,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,22,PA,2.3483904166922157e-15,0.027771000000001322,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,24,PA,2.3483904166922157e-15,0.13166400000000067,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,26,PA,2.3483904166922157e-15,0.06632799999999861,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,28,PA,2.3483904166922157e-15,0.0672440000000023,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,30,PA,2.3483904166922157e-15,0.08483599999999569,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,32,PA,2.347856806194571e-15,0.08878999999998882,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,34,PA,2.347856806194571e-15,0.08663099999999702,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,36,PA,2.347856806194571e-15,0.12838899999999853,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,38,PA,2.347856806194571e-15,0.12031700000000001,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,40,PA,2.347856806194571e-15,0.18951400000000262,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,42,PA,2.347856806194571e-15,0.20849800000000585,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,43,PA,2.347856806194571e-15,0.14048400000000072,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,45,PA,2.347856806194571e-15,0.11772700000000214,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,47,PA,2.347856806194571e-15,0.183755000000005,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,49,PA,2.347856806194571e-15,0.1459470000000067,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,51,PA,2.347856806194571e-15,0.1565389999999951,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,53,PA,2.347856806194571e-15,0.15572299999999473,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,55,PA,2.347856806194571e-15,0.13471400000000244,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,57,PA,2.347856806194571e-15,0.18921399999999267,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,59,PA,2.347856806194571e-15,0.15301100000000645,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,61,PA,2.347856806194571e-15,0.19553299999999751,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,63,PA,2.347856806194571e-15,0.17747599999999863,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,65,PA,2.347856806194571e-15,0.2905930000000012,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,67,PA,2.347856806194571e-15,0.2887659999999954,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,69,PA,2.347856806194571e-15,0.349583999999993,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,71,PA,2.347856806194571e-15,0.2984390000000019,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,73,PA,2.347856806194571e-15,0.17912400000000162,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,75,PA,2.347856806194571e-15,0.20501999999999043,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,77,PA,2.347856806194571e-15,0.26500200000000973,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,79,PA,2.347856806194571e-15,0.2381069999999994,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,81,PA,2.347856806194571e-15,0.3076719999999966,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,82,PA,2.347856806194571e-15,0.5557119999999998,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,84,PA,2.347856806194571e-15,0.7880009999999942,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,86,PA,2.347856806194571e-15,0.6515820000000048,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,88,PA,2.347856806194571e-15,0.48981399999999553,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,90,PA,2.347856806194571e-15,0.3522360000000049,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,92,PA,2.347856806194571e-15,0.27861500000000206,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,94,PA,2.347856806194571e-15,1.556287999999995,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,96,PA,2.347856806194571e-15,0.7943319999999972,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,98,PA,2.347856806194571e-15,0.7169860000000057,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,100,PA,2.347856806194571e-15,0.3587890000000016,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,102,PA,2.347856806194571e-15,0.3825570000000056,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,104,PA,2.347856806194571e-15,0.3041649999999976,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,106,PA,2.347856806194571e-15,0.3590330000000108,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,108,PA,2.347856806194571e-15,0.2894940000000048,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,110,PA,2.347856806194571e-15,0.3545079999999956,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,112,PA,2.347856806194571e-15,0.39244699999999,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,114,PA,2.2598071534434225e-15,0.729061999999999,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,116,PA,2.347856806194571e-15,0.7218869999999953,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,118,PA,2.3478011779555204e-15,0.4816119999999984,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,120,PA,2.3502895703224227e-15,0.40136400000000094,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,5,RA-AAA5,0.0022094364543113957,1.650771000000006,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,6,RA-AAA5,2.0443638703723676e-08,1.469425000000001,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,8,RA-AAA5,1.983288218424324e-08,2.461076999999989,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,10,RA-AAA5,1.1857984441653501e-08,1.7987499999999983,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,12,RA-AAA5,1.664279160681112e-09,1.9232230000000072,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,14,RA-AAA5,3.5478205282243164e-11,1.8741919999999936,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,16,RA-AAA5,1.1255419953718665e-12,2.496514000000005,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,18,RA-AAA5,2.0040108920804946e-14,2.342918999999995,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,20,RA-AAA5,4.566050393785202e-15,2.544865999999999,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,22,RA-AAA5,4.560713400604343e-15,2.2747619999999955,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,24,RA-AAA5,4.5633579893867005e-15,1.8156620000000032,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,26,RA-AAA5,4.5602891676473114e-15,1.8207249999999817,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,28,RA-AAA5,4.559752445989603e-15,2.373670000000004,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,30,RA-AAA5,4.56047129585851e-15,2.5668460000000266,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,32,RA-AAA5,4.564643952990705e-15,2.4302829999999744,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,34,RA-AAA5,4.56063941704344e-15,2.205738000000025,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,36,RA-AAA5,4.551562617714245e-15,3.773843999999997,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,38,RA-AAA5,4.55134593153682e-15,3.0952050000000213,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,40,RA-AAA5,4.54851085339092e-15,3.905736999999988,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,42,RA-AAA5,4.545906177431816e-15,2.889132000000018,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,43,RA-AAA5,4.5438182537149796e-15,2.776691999999997,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,45,RA-AAA5,4.542506384114548e-15,3.3050750000000164,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,47,RA-AAA5,4.54188291558009e-15,3.0311949999999968,$H_{LE}^{h=0.04}$,888,1e-06
$\cos(tA)$,49,RA-AAA5,4.542159878397327e-15,2.909337000000022,$H_{LE}^{h=0.04}$,888,1e-06
