f,m,method,err,time,name,n,t
$\cos(tA)$,0,EX,0.0,7.768151999998736,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,5,PA,1.3203623109824498,0.01700200000050245,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,6,PA,1.073632884013707,0.056206000001111533,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,8,PA,1.1965005157113935,0.016891999999643303,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,10,PA,1.2735441021114928,0.024310000000696164,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,12,PA,1.0232078351400407,0.05601600000045437,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,14,PA,1.04955367710212,0.09538299999985611,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,16,PA,0.9666095442021213,0.04066699999930279,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,18,PA,0.89931855973654,0.08199700000113808,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,20,PA,0.8922592475787574,0.057061999999859836,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,22,PA,0.8403739276684042,0.09450699999979406,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,24,PA,0.8081276866663709,0.07589100000041071,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,26,PA,0.7445919170674947,0.13323700000000827,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,28,PA,0.7085137875920925,0.185910000000149,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,30,PA,0.6179580974097214,0.5116649999999936,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,32,PA,0.40147569622885676,0.28315400000064983,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,34,PA,0.2158389132601107,0.10561500000039814,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,36,PA,0.08206381820239929,0.12376599999879545,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,38,PA,0.023492939872660244,0.10104099999989558,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,40,PA,0.008016724023198621,0.13057799999842246,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,42,PA,0.001609528666458452,0.08627099999830534,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,43,PA,0.0006257273763474177,0.12137699999948381,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,45,PA,0.00010877724145854332,0.1386290000009467,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,47,PA,1.668910722662801e-05,0.2251880000003439,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,49,PA,2.5591908510521856e-06,0.2084290000002511,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,51,PA,3.5729228625611065e-07,0.14196799999990617,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,53,PA,4.671750009747777e-08,0.20126000000163913,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,55,PA,4.747587514732083e-09,0.23068599999896833,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,57,PA,4.218138389892548e-10,0.1928619999998773,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,59,PA,3.7438937827554714e-11,0.13144199999987904,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,61,PA,2.646008719902333e-12,0.20985399999881338,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,63,PA,2.0179754464015709e-13,0.25051600000006147,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,65,PA,3.0900720078004525e-14,0.5673169999990932,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,67,PA,2.7964734750284952e-14,0.20479399999931047,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,69,PA,2.796256059073181e-14,0.21777099999962957,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,71,PA,2.7962455867840294e-14,0.27148399999896355,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,73,PA,2.7965298454487766e-14,0.28476099999897997,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,75,PA,2.7971836212084005e-14,0.21898899999905552,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,77,PA,2.7971836212084005e-14,0.2807100000009086,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,79,PA,2.7971836212084005e-14,0.22865299999830313,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,81,PA,2.7971836212084005e-14,0.2309640000003128,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,82,PA,2.7964048670790842e-14,0.3090569999985746,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,84,PA,2.7964048670790842e-14,0.34924299999875075,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,86,PA,2.7964048670790842e-14,0.30186399999911373,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,88,PA,2.7964048670790842e-14,0.4218639999999141,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,90,PA,2.796354120905702e-14,0.41272100000060163,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,92,PA,2.796354120905702e-14,0.27633400000013353,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,94,PA,2.796354120905702e-14,0.3522740000007616,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,96,PA,2.7964409332354824e-14,0.37652800000068964,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,98,PA,2.804822938788118e-14,0.3973949999999604,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,100,PA,2.7867957238553583e-14,0.43514300000060757,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,102,PA,2.7867957238553583e-14,0.321101000001363,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,104,PA,2.7867957238553583e-14,0.42306900000039604,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,106,PA,2.7867957238553583e-14,0.29358399999910034,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,108,PA,2.7867957238553583e-14,0.36846300000070187,$H_{LE}^{h=0.04}$,888,2e-05
